split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
4,32,2,2,extra,0,32,77,5.2458198671139655,3.072218223717507,0.1,2.5,23,0.6580870268688095,0.6021536478731033,17.333615363930544,1.473862263230488
4,32,3,0,root,,32,236,4.8694306642363845,2.661435866142761,0.0,0.0,,,,,
4,32,3,1,extra,2,32,103,4.9934823833259,2.661435866142761,0.1,2.5,37,0.4208120915402511,0.4265748734822913,25.63367219249706,3.367909638786518
4,32,4,0,root,,32,191,4.824066771808983,3.2151198866325936,0.0,0.0,,,,,
4,32,4,1,extra,3,32,77,4.579237609376036,3.2151198866325936,0.1,2.5,27,0.7033468443489612,0.40525095993901317,26.00249423603357,2.1234479142797693
5,64,0,0,root,,64,226,5.152189925075605,1.7436795532326599,0.0,0.0,,,,,
5,64,0,1,extra,1,64,90,3.461592602371111,1.7436795532326599,0.1,2.5,23,0.34129510064563373,0.4379442244359461,12.677546101475949,4.15736340413901
5,64,1,0,root,,64,214,5.127094793956582,2.0798935357435204,0.0,0.0,,,,,
5,64,1,1,extra,0,64,98,5.131995944141532,2.0798935357435204,0.1,2.5,40,0.7687572751960594,0.4379442244359461,12.677546101475949,4.15736340413901
5,64,1,2,extra,2,58,81,4.764913484379849,2.0798935357435204,0.1,2.5,19,0.8390404078084792,0.4937214071142579,17.513816168195635,1.482984939459533
5,64,2,0,root,,64,232,4.918421084924229,2.8551700639645192,0.0,0.0,,,,,
5,64,2,1,extra,3,64,93,4.700892900126473,2.8551700639645192,0.1,2.5,37,1.2001358058263434,0.4385836650285002,23.076247808629816,2.4254291752636274
5,64,2,2,extra,0,64,89,5.432672847964323,2.8551700639645192,0.1,2.5,26,1.175243920110077,0.5874040535279182,16.57928681457977,1.429592476277274
5,64,3,0,root,,64,238,4.859864891186093,2.3472961644188537,0.0,0.0,,,,,
5,64,3,1,extra,2,64,98,4.592554034034395,2.3472961644188537,0.1,2.5,30,0.849486598296449,0.4385836650285002,23.076247808629816,2.4254291752636274
5,64,3,2,extra,0,64,86,5.090613593912543,2.3472961644188537,0.1,2.5,16,1.3580904459588514,0.7657493266402143,23.012430539177462,0.5613659815138994
5,64,4,0,root,,64,182,4.768452112096779,2.79772200076137,0.0,0.0,,,,,
