split,class_i,branch_i,kind_i,class_j,branch_j,kind_j,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg
1,0,0,root,2,2,extra,0.42904230496692863,0.18407729945133502,2.331749255652635,0.16990795597614422,19.735452909501774
1,0,0,root,3,0,root,0.769072015925264,0.5914717656793493,2.264967498673202,0.16031493031393565,26.05487821630309
1,0,0,root,3,1,extra,1.1368095034370143,1.2923358471047108,1.7767370067264547,0.09864982472097752,38.03283909042619
1,0,0,root,4,0,root,0.8002357942017326,0.6403773263216778,1.942171622096583,0.11787595655241476,29.652497453891947
1,0,0,root,4,1,extra,1.1433972472619487,1.3073572650462015,1.5795839538354262,0.07797142085044866,42.30217414396802
1,0,1,extra,1,0,root,0.6425650019889539,0.4128897817810642,2.450641388494379,0.18767635046880182,17.285993638239784
1,0,1,extra,1,1,extra,0.514265139880982,0.2644686340968059,2.4571107767111924,0.18866854278219614,16.90893281829195
1,0,1,extra,1,2,extra,0.7330289467428391,0.5373314367629161,2.3208049606950794,0.16831673954959037,21.36932985448209
1,0,1,extra,2,0,root,0.6679639466323403,0.44617583400065186,2.4426215256938257,0.18644999743071355,18.91951079682113
1,0,1,extra,2,1,extra,1.0222496249775381,1.0449942957667173,2.2934398627022676,0.1643708251197437,17.976340650699974
1,0,1,extra,2,2,extra,0.4427091861828051,0.19599142353064158,2.3881552321486907,0.17822766915122393,20.48059505120315
1,0,1,extra,3,0,root,0.9333457382668167,0.8711342671408293,2.279495184099531,0.16237807169790483,30.08817614352449
1,0,1,extra,3,1,extra,1.2566450870993031,1.5791568749308151,1.8637459138343442,0.10854840097919422,39.942331566860254
1,0,1,extra,4,0,root,0.9615216200513124,0.9245238258261006,2.02487079849926,0.12812817970671972,30.629113124732953
1,0,1,extra,4,1,extra,1.266206620549676,1.603279205923831,1.6396659082086578,0.08401575907942882,45.458648252137074
1,1,0,root,1,1,extra,0.6379360934670275,0.40696245934797215,3.6029160016992408,0.40565636610313893,2.6721440683388704
1,1,0,root,1,2,extra,0.40129161223389426,0.16103495804927817,3.739273782718779,0.43694276319150005,1.260596307124773
1,1,0,root,2,0,root,0.465548830257064,0.21673571335372063,2.5171229928939884,0.1979971300423622,18.37927424229918
1,1,0,root,2,1,extra,0.7678212862365964,0.5895495275980214,2.1689075402471465,0.14700499744190398,21.108854398039245
1,1,0,root,2,2,extra,0.5883182317419353,0.3461183417999575,1.9857905266095486,0.12323012548663205,22.28299113820893
1,1,0,root,3,0,root,0.6427117374320268,0.41307837743289455,2.1470632727296537,0.14405877178451792,29.18117804558266
1,1,0,root,3,1,extra,1.0082343780725975,1.0165365611274382,1.8093470187919758,0.10230426982535655,38.28445579425342
1,1,0,root,4,0,root,0.6720975796497792,0.4517151565710914,1.9311999934330686,0.11654791920737134,29.000859076092265
1,1,0,root,4,1,extra,1.0135632133767865,1.0273103875106773,1.5963992649119487,0.07964033165660658,44.62725744577209
1,1,1,extra,1,2,extra,0.8370946046168953,0.7007273770787164,2.9381069945881726,0.2697647722389982,3.1502539336110096
1,1,1,extra,2,0,root,0.843977698122766,0.7122983549286025,1.8004106920520957,0.10129620812673454,22.632015767939187
1,1,1,extra,2,1,extra,1.2157863292542597,1.478136398401547,1.623426902545861,0.0823598408721765,24.16462198419742
1,1,1,extra,2,2,extra,0.5117919036425763,0.26193095263409216,2.065814437865458,0.13336216536541803,23.166537064270514
1,1,1,extra,3,0,root,1.081373345203815,1.1693683117172895,1.6690323864742405,0.08705215959687185,32.460242386293736
1,1,1,extra,3,1,extra,1.4359655942481238,2.0619971878643675,1.2436261355803542,0.04833143640932893,42.09904523321078
1,1,1,extra,4,0,root,1.135137594437954,1.2885373583063853,1.482212919420371,0.06865484807802062,32.45400811528639
1,1,1,extra,4,1,extra,1.4454825105425193,2.089419688284305,1.1295508785298953,0.039871412099614326,51.72396781058556
1,1,2,extra,2,0,root,0.3910689135468046,0.15293489514267813,2.4956310041638248,0.19463044090449189,24.770871637398074
1,1,2,extra,2,1,extra,0.5589863399890646,0.31246572829437014,2.256722937111084,0.15914995046510244,26.479893995967295
1,1,2,extra,2,2,extra,0.7420650338034162,0.5506605143936651,1.7313236042768287,0.09367129446019089,28.22690348033676
1,1,2,extra,3,0,root,0.5465932833505174,0.29876421740389897,2.14041423663505,0.1431679095121876,34.42440820913728
1,1,2,extra,3,1,extra,0.8099095588514066,0.6559534935188802,2.026634488214585,0.12835147965064977,37.8210712675657
1,1,2,extra,4,0,root,0.544191234888562,0.2961441001295381,1.9662052607011218,0.12081134772527392,35.79255972765658
1,1,2,extra,4,1,extra,0.8250494788291668,0.6807066425162798,1.8027306526747995,0.10155743144041589,44.796125716562685
1,2,0,root,2,1,extra,0.48048023270283763,0.230861254018173,4.000239425531345,0.5000598581742293,1.1095346161021649
1,2,0,root,2,2,extra,0.5967693016939317,0.35613359944426287,3.4709287704398024,0.3764795790458363,1.6960208587798693
1,2,0,root,3,0,root,0.4531996987831448,0.2053899669771332,2.790442183085011,0.24333023678563254,24.115073021520328
1,2,0,root,3,1,extra,0.767136564236778,0.5884985081890082,2.468653940169451,0.1904453836348174,28.195658087348363
1,2,0,root,4,0,root,0.4431812466702441,0.1964096174001918,2.535565825157566,0.20090918917834275,24.28705146802857
1,2,0,root,4,1,extra,0.7702741417429679,0.593322253437866,2.17408936253549,0.14770826738406168,27.309058499738526
